DT_COMPTC,CNPJ_FUNDO_CLASSE,TP_FUNDO_CLASSE,ID_SUBCLASSE,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA
2025-10-03,03.840.123/0001-29,CLASSES - FIF,,225940720.92,50.43134669,225877172.47,0.0,0.0
2025-09-12,46.420.250/0001-81,CLASSES - FIF,,50003989.13,1.4548509,50012730.87,0.0,0.0
2026-03-17,08.893.093/0001-32,CLASSES - FIF,YCRMK1761248592,16480042.9,884.473055,16473838.15,0.0,0.0
2025-08-15,04.882.611/0001-61,CLASSES - FIF,,1732366.8,23.6888031,1811533.95,0.0,0.0
2025-10-20,01.623.538/0001-15,CLASSES - FIF,,28028195.04,363.017905,28083730.31,0.0,0.0
2025-09-12,29.409.211/0001-64,CLASSES - FIF,,12628912.72,18.93633044,12621077.48,0.0,0.0
2026-04-13,57.659.750/0001-97,CLASSES - FIF,,125277253.73,1.339499106254,137133424.55,165500.0,0.0
2026-05-26,13.142.134/0001-99,CLASSES - FIF,,92021728.82,2.296656,92001493.86,0.0,0.0
2025-09-25,63.375.216/0001-51,CLASSES - FIF,,71886040.09,187.087985,71583825.31,0.0,26736.75
2026-05-21,57.830.033/0001-86,CLASSES - FIF,,24457690.55,1639.01900965,24459528.96,0.0,0.0
2025-08-27,28.558.001/0001-75,CLASSES - FIF,,21927805.35,4.3722277,21892601.16,0.0,0.0
2025-11-05,28.075.485/0001-00,CLASSES - FIF,,284693739.51,24.782546,284729129.72,0.0,0.0
2025-07-17,18.599.004/0001-01,CLASSES - FIF,,14554119127.63,29.8894682,14553716435.24,11905825.59,310905.0
2025-10-09,59.632.074/0001-93,CLASSES - FIF,,32434779.99,1303.75102867,32435500.96,0.0,0.0
2026-03-20,26.210.505/0001-74,CLASSES - FIF,,49191770.69,3.2520837,48599911.83,0.0,0.0
2025-07-17,52.249.816/0001-57,CLASSES - FIF,,32829489.31,1.12519359,32822657.14,3210.0,0.0
2025-07-25,50.871.233/0001-38,CLASSES - FIF,,39978088.39,99.97487,39952355.31,500000.0,0.0
2026-05-06,57.751.617/0001-66,CLASSES - FIF,,8885584.79,0.845601416419,8878814.87,0.0,0.0
2025-09-11,42.044.287/0001-00,CLASSES - FIF,,33726811.54,150.4102364,33722604.88,0.0,0.0
2025-12-11,41.544.386/0001-80,CLASSES - FIF,RKY5D1762799978,4549292.86,1.220658227499,4547734.63,0.0,0.0
2025-07-25,07.058.057/0001-90,CLASSES - FIF,,1378445969.12,6.7330469,1378410825.29,0.0,0.0
2026-05-07,62.423.102/0001-77,CLASSES - FIF,,27384994.05,104.47174214,27362176.27,0.0,0.0
2025-08-06,53.135.903/0001-46,CLASSES - FIF,,51457710.0,245.98191,51462524.0,0.0,0.0
2025-10-09,57.370.727/0001-88,CLASSES - FIF,,16209854.08,1.11770324,16208464.71,1109102.95,0.0
2025-11-24,11.490.626/0001-40,CLASSES - FIF,,1139599491.42,4.67654264,1165026997.94,0.0,0.0
2025-12-17,06.175.696/0001-73,CLASSES - FIF,,45595417695.43,81.378679,45596308354.71,2890039487.28,3665011450.62
2026-03-10,39.240.301/0001-28,CLASSES - FIF,,109598978.82,16.4083647,109470899.37,0.0,0.0
2025-10-13,00.838.266/0001-08,CLASSES - FIF,,7517055.22,27.87856776,7509716.8,200.0,0.0
2025-07-22,53.252.154/0001-37,CLASSES - FIF,,1291447.27,111.9837816,1290859.12,0.0,0.0
2026-05-22,44.977.584/0001-25,CLASSES - FIF,WMJYY1759499791,13007873.77,1.000667996315,13007838.94,0.0,0.0
2026-03-03,12.030.285/0001-92,CLASSES - FIF,,17401238.63,26.1681513,17333376.9,0.0,0.0
2025-07-01,37.503.473/0001-11,CLASSES - FIF,,35363587.77,1.2995912,35384308.77,0.0,0.0
2025-07-01,44.544.004/0001-06,CLASSES - FIF,,12027592.26,114.66017256,11762699.88,0.0,0.0
2026-01-14,18.628.935/0001-82,CLASSES - FIF,,15370137.31,1.95907305,15363892.61,0.0,0.0
2026-01-26,13.400.050/0001-08,CLASSES - FIF,,194026626.07,4.0057515,193960581.2,32415.79,471209.25
2026-05-04,17.906.106/0001-51,CLASSES - FIF,,26875560.84,3.56899763,28141287.3,5000.0,0.0
2025-07-16,53.497.497/0001-61,CLASSES - FIF,,302335931.87,1.1670115,298897100.97,706598.01,0.0
2026-04-17,63.395.612/0001-40,CLASSES - FIF,,123941595.06,1126.68673973,123935541.37,0.0,0.0
2025-09-10,24.752.700/0001-09,CLASSES - FIF,,23338664.02,2.1034697,24567944.24,0.0,0.0
2025-11-19,41.360.141/0001-00,CLASSES - FIF,,130938407.92,1.5874667,130930616.88,0.0,0.0
2025-09-30,45.616.146/0001-02,CLASSES - FIF,,384889150.54,56687.81919143,384835502.93,0.0,0.0
2025-08-29,42.045.624/0001-75,CLASSES - FIF,,29823415.66,145.070976,29816705.42,0.0,0.0
2026-01-28,41.710.510/0001-30,CLASSES - FIF,,51211237.31,138.8851444,51159143.44,0.0,0.0
2025-08-11,54.316.081/0001-62,CLASSES - FIF,,43260176.3,1.125281304981,43256305.78,0.0,0.0
2025-12-18,31.392.516/0001-52,CLASSES - FIF,,140631528.39,1.95719951,140587793.19,0.0,0.0
2026-03-02,09.677.054/0001-60,CLASSES - FIF,,2058435.8,4.545124,2047883.3,0.0,0.0
2025-09-18,20.458.849/0001-10,CLASSES - FIF,,7411037.98,1.8402709,7409987.97,0.0,0.0
2025-09-02,10.851.854/0001-35,CLASSES - FIF,,12828315.04,162.7525014,12842482.96,0.0,0.0
2026-05-28,58.331.211/0001-97,CLASSES - FIF,,24226885.6,117.3505843,24221035.79,0.0,0.0
2026-03-09,59.818.611/0001-94,CLASSES - FIF,,122403893.75,1.093166297,122396977.91,0.0,0.0
2026-03-20,60.823.195/0001-00,CLASSES - FIF,,423527891.89,113.8264077,425060075.18,0.0,0.0
2026-02-03,55.724.152/0001-29,CLASSES - FIF,,55628662.83,0.824818,53726617.64,205690.3,205690.3
2025-09-05,37.278.433/0001-13,CLASSES - FIF,,47827775.68,1.4086996,48032250.35,0.0,0.0
2025-09-05,59.065.619/0001-27,CLASSES - FIF,,3514356.37,1.06515791886,3514078.67,0.0,0.0
2026-05-14,13.401.224/0001-57,CLASSES - FIF,,102626180.63,11.6855674,102554051.87,10000.0,47378.81
2026-05-29,26.914.220/0001-14,CLASSES - FIF,,20346612.66,1.63328092,20347646.12,0.0,0.0
2026-04-15,36.165.005/0001-11,CLASSES - FIF,,173083511.86,15.827789,173063395.82,0.0,0.0
2026-02-03,43.584.458/0001-48,CLASSES - FIF,,54073102.15,1.63574659,54062346.1,0.0,0.0
2026-05-27,35.580.389/0001-76,CLASSES - FIF,,3697902.08,1.7329873,3691651.55,0.0,0.0
2026-01-13,60.627.132/0001-70,CLASSES - FIF,,32906236.94,109.6592799,32897783.99,0.0,0.0
2025-10-27,21.762.107/0001-47,CLASSES - FIF,,1107486937.37,370.46414282,1105563908.5,355000.0,1000000.0
2025-06-24,12.468.325/0001-82,CLASSES - FIF,,296424476.85,40.3161923,296397103.91,0.0,0.0
2025-12-11,28.951.154/0001-88,CLASSES - FIF,,1199095261.39,4.642268873707,1188488085.99,150000.0,0.0
2025-11-03,37.368.165/0001-20,CLASSES - FIF,,973352431.32,1.739278272305,982417905.81,84378.19,547694.32
2026-04-09,47.020.423/0001-37,CLASSES - FIF,,1885050.81,1.4969231,1894047.21,0.0,0.0
2026-01-27,55.064.365/0001-71,CLASSES - FIF,,32340698.71,1.3074668,32343270.95,0.0,0.0
2026-04-28,32.671.973/0001-49,CLASSES - FIF,,51568310.97,1.4350526,51576409.76,0.0,0.0
2025-09-16,41.545.913/0001-70,CLASSES - FIF,,28774070.21,1.3873543,28806132.91,0.0,0.0
2025-08-15,18.247.733/0001-90,CLASSES - FIF,,39019496.19,8.5832032,39030040.57,0.0,0.0
2026-04-13,11.039.140/0001-90,CLASSES - FIF,,112198094.1,229.14755595,119333197.66,0.0,0.0
2026-02-11,43.140.671/0001-60,CLASSES - FIF,,231958438.73,1.511343796373,231332501.14,469392.06,8293.24
2025-08-04,45.295.207/0001-79,CLASSES - FIF,,45943023.86,1.4031247,46026557.55,0.0,0.0
2026-02-23,14.706.299/0001-09,CLASSES - FIF,,50205822.33,33.798832,50192839.45,0.0,0.0
2025-06-25,41.835.922/0001-04,CLASSES - FIF,,2256355.43,144.512884,2254387.21,0.0,0.0
2026-05-25,26.374.829/0001-48,CLASSES - FIF,,596668906.57,2.1147284,596607308.68,28202675.22,54318807.59
2026-02-19,17.164.804/0001-29,CLASSES - FIF,,73637897.64,293.15240179,91536091.51,1000.0,0.0
2025-07-25,52.342.407/0001-09,CLASSES - FIF,,132978078.08,1.343335,131864136.42,0.0,0.0
2025-10-16,60.018.029/0001-22,CLASSES - FIF,7GEL91750968059,193807751.92,1.035019186512,193602446.04,0.0,0.0
2025-07-11,60.742.819/0001-56,CLASSES - FIF,,149914973.73,10.3649308,149864374.58,0.0,0.0
2025-07-31,20.628.685/0001-22,CLASSES - FIF,,6884307.95,1.9718425,6890268.03,0.0,0.0
2026-04-09,24.572.410/0001-75,CLASSES - FIF,,5574084.65,210.428166,5647829.41,0.0,0.0
2025-07-11,50.804.059/0001-00,CLASSES - FIF,,37291839.84,10.5100752,37300575.33,0.0,0.0
2026-01-28,63.702.292/0001-24,CLASSES - FIF,,61361264.99,1.0225316,61351901.3,0.0,0.0
2026-05-08,45.127.046/0001-04,CLASSES - FIF,,3255102.6,1.1181181,3243928.79,0.0,0.0
2025-09-22,44.345.532/0001-36,CLASSES - FIF,,530133212.38,1.524781618,530078719.15,33820.0,1660599.56
2025-10-17,41.424.117/0001-80,CLASSES - FIF,,89994375.77,109.498915,89967779.35,300000.0,0.0
2025-11-03,55.117.996/0001-01,CLASSES - FIF,,108738824.72,1.196802,108708485.74,0.0,0.0
2026-04-07,51.565.666/0001-28,CLASSES - FIF,,8195239.53,1.3290167,8194172.49,0.0,0.0
2025-09-29,51.154.205/0001-62,CLASSES - FIF,,2005374252.61,1.15803259,2005240983.64,0.0,0.0
2025-07-30,59.791.603/0001-00,CLASSES - FIF,,1527847.33,1.0203466,1530519.9,0.0,0.0
2025-12-31,10.313.808/0001-82,CLASSES - FIF,,77639171.44,2.45888258,77632676.97,0.0,0.0
2025-07-25,60.629.171/0001-06,CLASSES - FIF,,34656941.44,1.01755035,34377087.02,1071127.89,0.0
2026-04-14,19.997.643/0001-80,CLASSES - FIF,,4033053.31,2.796801,4040338.94,0.0,0.0
2025-09-09,42.827.424/0001-74,CLASSES - FIF,,35831836.28,1.331179347958,35808635.53,69509.24,25085.06
